n,k,graph_seed,pop,run,budget_s,record
1000,3,8,2048,1,0.25,207979
1000,3,8,2048,1,0.5,207860
1000,3,8,2048,1,1,207795
1000,3,8,2048,1,2,207795
1000,3,8,2048,1,5,207771
1000,3,8,2048,1,10,207758
1000,3,8,2048,2,0.25,207921
1000,3,8,2048,2,0.5,207781
1000,3,8,2048,2,1,207781
1000,3,8,2048,2,2,207781
1000,3,8,2048,2,5,207747
1000,3,8,2048,2,10,207747
1000,3,8,2048,3,0.25,207825
1000,3,8,2048,3,0.5,207825
1000,3,8,2048,3,1,207788
1000,3,8,2048,3,2,207760
1000,3,8,2048,3,5,207760
1000,3,8,2048,3,10,207739
1000,3,8,256,1,0.25,207853
1000,3,8,256,1,0.5,207853
1000,3,8,256,1,1,207793
1000,3,8,256,1,2,207782
1000,3,8,256,1,5,207730
1000,3,8,256,1,10,207730
1000,3,8,256,2,0.25,207809
1000,3,8,256,2,0.5,207809
1000,3,8,256,2,1,207809
1000,3,8,256,2,2,207809
1000,3,8,256,2,5,207771
1000,3,8,256,2,10,207763
1000,3,8,256,3,0.25,207819
1000,3,8,256,3,0.5,207819
1000,3,8,256,3,1,207809
1000,3,8,256,3,2,207809
1000,3,8,256,3,5,207745
1000,3,8,256,3,10,207745
1000,3,8,4096,1,0.25,208009
1000,3,8,4096,1,0.5,208003
1000,3,8,4096,1,1,207833
1000,3,8,4096,1,2,207815
1000,3,8,4096,1,5,207779
1000,3,8,4096,1,10,207759
1000,3,8,4096,2,0.25,208141
1000,3,8,4096,2,0.5,207904
1000,3,8,4096,2,1,207843
1000,3,8,4096,2,2,207806
1000,3,8,4096,2,5,207739
1000,3,8,4096,2,10,207739
1000,3,8,4096,3,0.25,207990
1000,3,8,4096,3,0.5,207919
1000,3,8,4096,3,1,207845
1000,3,8,4096,3,2,207774
1000,3,8,4096,3,5,207774
1000,3,8,4096,3,10,207763
1000,3,8,512,1,0.25,207819
1000,3,8,512,1,0.5,207817
1000,3,8,512,1,1,207785
1000,3,8,512,1,2,207785
1000,3,8,512,1,5,207775
1000,3,8,512,1,10,207775
1000,3,8,512,2,0.25,207851
1000,3,8,512,2,0.5,207823
1000,3,8,512,2,1,207759
1000,3,8,512,2,2,207759
1000,3,8,512,2,5,207759
1000,3,8,512,2,10,207759
1000,3,8,512,3,0.25,207849
1000,3,8,512,3,0.5,207807
1000,3,8,512,3,1,207796
1000,3,8,512,3,2,207796
1000,3,8,512,3,5,207747
1000,3,8,512,3,10,207747
1000,3,8,64,1,0.25,207871
1000,3,8,64,1,0.5,207851
1000,3,8,64,1,1,207851
1000,3,8,64,1,2,207799
1000,3,8,64,1,5,207777
1000,3,8,64,1,10,207771
1000,3,8,64,2,0.25,207843
1000,3,8,64,2,0.5,207797
1000,3,8,64,2,1,207797
1000,3,8,64,2,2,207797
1000,3,8,64,2,5,207793
1000,3,8,64,2,10,207793
1000,3,8,64,3,0.25,207857
1000,3,8,64,3,0.5,207851
1000,3,8,64,3,1,207817
1000,3,8,64,3,2,207816
1000,3,8,64,3,5,207759
1000,3,8,64,3,10,207759
2000,3,7,1024,1,0.25,848768
2000,3,7,1024,1,0.5,848367
2000,3,7,1024,1,1,848152
2000,3,7,1024,1,2,847908
2000,3,7,1024,1,5,847836
2000,3,7,1024,1,10,847712
2000,3,7,1024,1,20,847676
2000,3,7,1024,1,30,847676
2000,3,7,1024,2,0.25,848799
2000,3,7,1024,2,0.5,848438
2000,3,7,1024,2,1,848098
2000,3,7,1024,2,2,847908
2000,3,7,1024,2,5,847688
2000,3,7,1024,2,10,847688
2000,3,7,1024,2,20,847688
2000,3,7,1024,2,30,847688
2000,3,7,1024,3,0.25,848815
2000,3,7,1024,3,0.5,848414
2000,3,7,1024,3,1,848192
2000,3,7,1024,3,2,848093
2000,3,7,1024,3,5,847836
2000,3,7,1024,3,10,847756
2000,3,7,1024,3,20,847694
2000,3,7,1024,3,30,847678
2000,3,7,128,1,0.25,848274
2000,3,7,128,1,0.5,848161
2000,3,7,128,1,1,847990
2000,3,7,128,1,2,847970
2000,3,7,128,1,5,847848
2000,3,7,128,1,10,847816
2000,3,7,128,1,20,847766
2000,3,7,128,1,30,847766
2000,3,7,128,2,0.25,848292
2000,3,7,128,2,0.5,848138
2000,3,7,128,2,1,848078
2000,3,7,128,2,2,848027
2000,3,7,128,2,5,847910
2000,3,7,128,2,10,847818
2000,3,7,128,2,20,847730
2000,3,7,128,2,30,847634
2000,3,7,128,3,0.25,848018
2000,3,7,128,3,0.5,847869
2000,3,7,128,3,1,847869
2000,3,7,128,3,2,847868
2000,3,7,128,3,5,847809
2000,3,7,128,3,10,847714
2000,3,7,128,3,20,847654
2000,3,7,128,3,30,847654
2000,3,7,2048,1,0.25,849320
2000,3,7,2048,1,0.5,848846
2000,3,7,2048,1,1,848340
2000,3,7,2048,1,2,848042
2000,3,7,2048,1,5,847781
2000,3,7,2048,1,10,847781
2000,3,7,2048,1,20,847548
2000,3,7,2048,1,30,847548
2000,3,7,2048,2,0.25,849242
2000,3,7,2048,2,0.5,848720
2000,3,7,2048,2,1,848492
2000,3,7,2048,2,2,848096
2000,3,7,2048,2,5,847932
2000,3,7,2048,2,10,847585
2000,3,7,2048,2,20,847585
2000,3,7,2048,2,30,847585
2000,3,7,2048,3,0.25,849096
2000,3,7,2048,3,0.5,848722
2000,3,7,2048,3,1,848272
2000,3,7,2048,3,2,848058
