n,k,graph_seed,pop,run,budget_s,record
2000,8,8,2048,2,5,706760
2000,8,8,2048,2,10,706497
2000,8,8,2048,2,20,706411
2000,8,8,2048,2,30,706288
2000,8,8,2048,3,0.25,709136
2000,8,8,2048,3,0.5,708359
2000,8,8,2048,3,1,707789
2000,8,8,2048,3,2,707235
2000,8,8,2048,3,5,706725
2000,8,8,2048,3,10,706475
2000,8,8,2048,3,20,706339
2000,8,8,2048,3,30,706278
2000,8,8,256,1,0.25,707345
2000,8,8,256,1,0.5,706979
2000,8,8,256,1,1,706709
2000,8,8,256,1,2,706474
2000,8,8,256,1,5,706311
2000,8,8,256,1,10,706239
2000,8,8,256,1,20,706226
2000,8,8,256,1,30,706221
2000,8,8,256,2,0.25,707324
2000,8,8,256,2,0.5,706821
2000,8,8,256,2,1,706707
2000,8,8,256,2,2,706609
2000,8,8,256,2,5,706271
2000,8,8,256,2,10,706198
2000,8,8,256,2,20,706191
2000,8,8,256,2,30,706188
2000,8,8,256,3,0.25,707411
2000,8,8,256,3,0.5,707025
2000,8,8,256,3,1,706592
2000,8,8,256,3,2,706382
2000,8,8,256,3,5,706303
2000,8,8,256,3,10,706241
2000,8,8,256,3,20,706230
2000,8,8,256,3,30,706230
2000,8,8,4096,1,0.25,
2000,8,8,4096,1,0.5,709033
2000,8,8,4096,1,1,708483
2000,8,8,4096,1,2,707729
2000,8,8,4096,1,5,706954
2000,8,8,4096,1,10,706650
2000,8,8,4096,1,20,706329
2000,8,8,4096,1,30,706290
2000,8,8,4096,2,0.25,
2000,8,8,4096,2,0.5,708922
2000,8,8,4096,2,1,708346
2000,8,8,4096,2,2,707655
2000,8,8,4096,2,5,706957
2000,8,8,4096,2,10,706643
2000,8,8,4096,2,20,706316
2000,8,8,4096,2,30,706219
2000,8,8,4096,3,0.25,
2000,8,8,4096,3,0.5,708952
2000,8,8,4096,3,1,708445
2000,8,8,4096,3,2,707700
2000,8,8,4096,3,5,706908
2000,8,8,4096,3,10,706470
2000,8,8,4096,3,20,706314
2000,8,8,4096,3,30,706200
2000,8,8,512,1,0.25,707630
2000,8,8,512,1,0.5,707091
2000,8,8,512,1,1,706773
2000,8,8,512,1,2,706611
2000,8,8,512,1,5,706383
2000,8,8,512,1,10,706327
2000,8,8,512,1,20,706289
2000,8,8,512,1,30,706270
2000,8,8,512,2,0.25,707706
2000,8,8,512,2,0.5,707293
2000,8,8,512,2,1,706955
2000,8,8,512,2,2,706604
2000,8,8,512,2,5,706340
2000,8,8,512,2,10,706258
2000,8,8,512,2,20,706207
2000,8,8,512,2,30,706207
2000,8,8,512,3,0.25,707793
2000,8,8,512,3,0.5,707349
2000,8,8,512,3,1,706828
2000,8,8,512,3,2,706555
2000,8,8,512,3,5,706307
2000,8,8,512,3,10,706265
2000,8,8,512,3,20,706205
2000,8,8,512,3,30,706203
2000,8,8,64,1,0.25,706875
2000,8,8,64,1,0.5,706694
2000,8,8,64,1,1,706493
2000,8,8,64,1,2,706378
2000,8,8,64,1,5,706378
2000,8,8,64,1,10,706351
2000,8,8,64,1,20,706255
2000,8,8,64,1,30,706255
2000,8,8,64,2,0.25,707006
2000,8,8,64,2,0.5,706710
2000,8,8,64,2,1,706535
2000,8,8,64,2,2,706450
2000,8,8,64,2,5,706308
2000,8,8,64,2,10,705979
2000,8,8,64,2,20,705922
2000,8,8,64,2,30,705922
2000,8,8,64,3,0.25,707106
2000,8,8,64,3,0.5,706803
2000,8,8,64,3,1,706618
2000,8,8,64,3,2,706525
2000,8,8,64,3,5,706307
2000,8,8,64,3,10,706224
2000,8,8,64,3,20,706220
2000,8,8,64,3,30,706206
6000,3,7,1024,1,0.25,
6000,3,7,1024,1,0.5,7791455
6000,3,7,1024,1,1,7787869
6000,3,7,1024,1,2,7785667
6000,3,7,1024,1,5,7782977
6000,3,7,1024,1,10,7781665
6000,3,7,1024,1,20,7780391
6000,3,7,1024,1,30,7779585
6000,3,7,1024,1,60,7778856
6000,3,7,1024,2,0.25,
6000,3,7,1024,2,0.5,7791115
6000,3,7,1024,2,1,7787619
6000,3,7,1024,2,2,7785447
6000,3,7,1024,2,5,7783091
6000,3,7,1024,2,10,7781937
6000,3,7,1024,2,20,7780611
6000,3,7,1024,2,30,7780207
6000,3,7,1024,2,60,7778785
6000,3,7,1024,3,0.25,
6000,3,7,1024,3,0.5,7791789
6000,3,7,1024,3,1,7787877
6000,3,7,1024,3,2,7785255
6000,3,7,1024,3,5,7783113
6000,3,7,1024,3,10,7781313
6000,3,7,1024,3,20,7780629
6000,3,7,1024,3,30,7779957
6000,3,7,1024,3,60,7779425
6000,3,7,128,1,0.25,7786145
6000,3,7,128,1,0.5,7783917
6000,3,7,128,1,1,7782845
6000,3,7,128,1,2,7782231
6000,3,7,128,1,5,7779835
6000,3,7,128,1,10,7779835
6000,3,7,128,1,20,7779241
6000,3,7,128,1,30,7778897
6000,3,7,128,1,60,7778659
6000,3,7,128,2,0.25,7786629
6000,3,7,128,2,0.5,7784203
6000,3,7,128,2,1,7783238
6000,3,7,128,2,2,7781755
6000,3,7,128,2,5,7780161
6000,3,7,128,2,10,7779881
6000,3,7,128,2,20,7779615
6000,3,7,128,2,30,7779447
6000,3,7,128,2,60,7778787
6000,3,7,128,3,0.25,7786169
6000,3,7,128,3,0.5,7784407
6000,3,7,128,3,1,7782897
6000,3,7,128,3,2,7781277
6000,3,7,128,3,5,7780353
6000,3,7,128,3,10,7779533
6000,3,7,128,3,20,7779363
6000,3,7,128,3,30,7779363
6000,3,7,128,3,60,7779289
6000,3,7,2048,1,0.25,
6000,3,7,2048,1,0.5,
6000,3,7,2048,1,1,7790649
6000,3,7,2048,1,2,7787029
6000,3,7,2048,1,5,7784529
6000,3,7,2048,1,10,7782405
6000,3,7,2048,1,20,7781271
6000,3,7,2048,1,30,7780875
6000,3,7,2048,1,60,7779425
6000,3,7,2048,2,0.25,
6000,3,7,2048,2,0.5,
6000,3,7,2048,2,1,7790711
6000,3,7,2048,2,2,7787057
6000,3,7,2048,2,5,7784883
6000,3,7,2048,2,10,7782531
6000,3,7,2048,2,20,7780466
6000,3,7,2048,2,30,7780319
6000,3,7,2048,2,60,7779459
6000,3,7,2048,3,0.25,
6000,3,7,2048,3,0.5,
6000,3,7,2048,3,1,7791307
6000,3,7,2048,3,2,7787511
6000,3,7,2048,3,5,7784585
6000,3,7,2048,3,10,7783017
6000,3,7,2048,3,20,7781421
6000,3,7,2048,3,30,7780613
6000,3,7,2048,3,60,7778931
6000,3,7,256,1,0.25,7788243
6000,3,7,256,1,0.5,7785961
6000,3,7,256,1,1,7784241
6000,3,7,256,1,2,7782773
6000,3,7,256,1,5,7780555
6000,3,7,256,1,10,7779501
6000,3,7,256,1,20,7779501
6000,3,7,256,1,30,7779215
6000,3,7,256,1,60,7778915
6000,3,7,256,2,0.25,7788815
6000,3,7,256,2,0.5,7786389
6000,3,7,256,2,1,7783893
6000,3,7,256,2,2,7782040
6000,3,7,256,2,5,7780279
6000,3,7,256,2,10,7780215
6000,3,7,256,2,20,7778839
6000,3,7,256,2,30,7778839
6000,3,7,256,2,60,7778651
6000,3,7,256,3,0.25,7788747
6000,3,7,256,3,0.5,7786475
6000,3,7,256,3,1,7784455
6000,3,7,256,3,2,7782349
6000,3,7,256,3,5,7780985
6000,3,7,256,3,10,7779787
6000,3,7,256,3,20,7779259
6000,3,7,256,3,30,7779004
6000,3,7,256,3,60,7778761
6000,3,7,4096,1,0.25,
6000,3,7,4096,1,0.5,
6000,3,7,4096,1,1,
6000,3,7,4096,1,2,7790649
6000,3,7,4096,1,5,7786585
6000,3,7,4096,1,10,7784471
6000,3,7,4096,1,20,7782225
6000,3,7,4096,1,30,7781923
6000,3,7,4096,1,60,7780254
6000,3,7,4096,2,0.25,
6000,3,7,4096,2,0.5,
6000,3,7,4096,2,1,
6000,3,7,4096,2,2,7790711
6000,3,7,4096,2,5,7785749
6000,3,7,4096,2,10,7783811
6000,3,7,4096,2,20,7782464
6000,3,7,4096,2,30,7781515
6000,3,7,4096,2,60,7780641
6000,3,7,4096,3,0.25,
6000,3,7,4096,3,0.5,
6000,3,7,4096,3,1,
6000,3,7,4096,3,2,7791243
6000,3,7,4096,3,5,7786057
6000,3,7,4096,3,10,7784107
6000,3,7,4096,3,20,7782365
6000,3,7,4096,3,30,7781857
6000,3,7,4096,3,60,7780521
6000,3,7,512,1,0.25,7791257
6000,3,7,512,1,0.5,7787993
6000,3,7,512,1,1,7785441
6000,3,7,512,1,2,7783419
6000,3,7,512,1,5,7781515
6000,3,7,512,1,10,7780441
6000,3,7,512,1,20,7780075
6000,3,7,512,1,30,7779865
6000,3,7,512,1,60,7779299
6000,3,7,512,2,0.25,7792409
6000,3,7,512,2,0.5,7788013
6000,3,7,512,2,1,7785752
6000,3,7,512,2,2,7783854
6000,3,7,512,2,5,7781577
6000,3,7,512,2,10,7780747
6000,3,7,512,2,20,7780043
6000,3,7,512,2,30,7780018
6000,3,7,512,2,60,7779693
6000,3,7,512,3,0.25,7791789
6000,3,7,512,3,0.5,7788155
6000,3,7,512,3,1,7785843
6000,3,7,512,3,2,7783633
6000,3,7,512,3,5,7782250
6000,3,7,512,3,10,7780779
6000,3,7,512,3,20,7779201
6000,3,7,512,3,30,7779201
6000,3,7,512,3,60,7778953
6000,3,7,64,1,0.25,7785769
6000,3,7,64,1,0.5,7783737
6000,3,7,64,1,1,7782225
6000,3,7,64,1,2,7781107
6000,3,7,64,1,5,7779717
6000,3,7,64,1,10,7779717
6000,3,7,64,1,20,7779709
6000,3,7,64,1,30,7779309
6000,3,7,64,1,60,7779211
6000,3,7,64,2,0.25,7785497
6000,3,7,64,2,0.5,7783149
6000,3,7,64,2,1,7781851
6000,3,7,64,2,2,7781597
6000,3,7,64,2,5,7780705
6000,3,7,64,2,10,7780051
6000,3,7,64,2,20,7779329
6000,3,7,64,2,30,7779329
6000,3,7,64,2,60,7779079
6000,3,7,64,3,0.25,7784897
6000,3,7,64,3,0.5,7783785
6000,3,7,64,3,1,7781985
6000,3,7,64,3,2,7780875
6000,3,7,64,3,5,7780277
6000,3,7,64,3,10,7779483
6000,3,7,64,3,20,7779483
6000,3,7,64,3,30,7779483
6000,3,7,64,3,60,7779105
6000,3,8,1024,1,0.25,
6000,3,8,1024,1,0.5,7792854
6000,3,8,1024,1,1,7790076
6000,3,8,1024,1,2,7786944
6000,3,8,1024,1,5,7784584
6000,3,8,1024,1,10,7783148
6000,3,8,1024,1,20,7782038
6000,3,8,1024,1,30,7781902
6000,3,8,1024,1,60,7781154
6000,3,8,1024,2,0.25,
6000,3,8,1024,2,0.5,7793166
6000,3,8,1024,2,1,7790192
6000,3,8,1024,2,2,7787362
6000,3,8,1024,2,5,7784394
6000,3,8,1024,2,10,7783001
6000,3,8,1024,2,20,7782118
6000,3,8,1024,2,30,7781850
6000,3,8,1024,2,60,7781098
6000,3,8,1024,3,0.25,
6000,3,8,1024,3,0.5,7793508
6000,3,8,1024,3,1,7789816
6000,3,8,1024,3,2,7787036
6000,3,8,1024,3,5,7783944
6000,3,8,1024,3,10,7783176
6000,3,8,1024,3,20,7782104
6000,3,8,1024,3,30,7782023
6000,3,8,1024,3,60,7781444
6000,3,8,128,1,0.25,7788334
6000,3,8,128,1,0.5,7786288
6000,3,8,128,1,1,7785060
6000,3,8,128,1,2,7783536
6000,3,8,128,1,5,7781990
6000,3,8,128,1,10,7781752
6000,3,8,128,1,20,7781586
6000,3,8,128,1,30,7781586
6000,3,8,128,1,60,7780800
6000,3,8,128,2,0.25,7787654
6000,3,8,128,2,0.5,7785716
6000,3,8,128,2,1,7784674
6000,3,8,128,2,2,7783922
6000,3,8,128,2,5,7782524
6000,3,8,128,2,10,7781796
6000,3,8,128,2,20,7781180
6000,3,8,128,2,30,7781146
6000,3,8,128,2,60,7780802
6000,3,8,128,3,0.25,7788314
6000,3,8,128,3,0.5,7786636
6000,3,8,128,3,1,7784758
6000,3,8,128,3,2,7783254
6000,3,8,128,3,5,7782502
6000,3,8,128,3,10,7782288
6000,3,8,128,3,20,7781140
6000,3,8,128,3,30,7781140
6000,3,8,128,3,60,7780964
6000,3,8,2048,1,0.25,
6000,3,8,2048,1,0.5,
6000,3,8,2048,1,1,7793624
6000,3,8,2048,1,2,7788860
6000,3,8,2048,1,5,7786578
6000,3,8,2048,1,10,7784418
6000,3,8,2048,1,20,7783036
6000,3,8,2048,1,30,7782613
6000,3,8,2048,1,60,7780950
6000,3,8,2048,2,0.25,
6000,3,8,2048,2,0.5,
6000,3,8,2048,2,1,7793082
6000,3,8,2048,2,2,7788480
6000,3,8,2048,2,5,7786238
6000,3,8,2048,2,10,7783708
6000,3,8,2048,2,20,7782422
6000,3,8,2048,2,30,7781916
6000,3,8,2048,2,60,7781484
6000,3,8,2048,3,0.25,
6000,3,8,2048,3,0.5,
6000,3,8,2048,3,1,7792652
6000,3,8,2048,3,2,7789735
6000,3,8,2048,3,5,7786614
6000,3,8,2048,3,10,7784366
6000,3,8,2048,3,20,7782832
6000,3,8,2048,3,30,7782184
6000,3,8,2048,3,60,7781378
6000,3,8,256,1,0.25,7790782
6000,3,8,256,1,0.5,7787030
6000,3,8,256,1,1,7785446
6000,3,8,256,1,2,7784482
6000,3,8,256,1,5,7782468
6000,3,8,256,1,10,7782237
6000,3,8,256,1,20,7781160
6000,3,8,256,1,30,7781160
6000,3,8,256,1,60,7781160
6000,3,8,256,2,0.25,7790460
6000,3,8,256,2,0.5,7787563
6000,3,8,256,2,1,7786386
6000,3,8,256,2,2,7785098
6000,3,8,256,2,5,7782066
6000,3,8,256,2,10,7781348
6000,3,8,256,2,20,7781348
6000,3,8,256,2,30,7781056
6000,3,8,256,2,60,7781046
6000,3,8,256,3,0.25,7789550
6000,3,8,256,3,0.5,7787424
6000,3,8,256,3,1,7785952
6000,3,8,256,3,2,7784204
6000,3,8,256,3,5,7782584
6000,3,8,256,3,10,7781898
6000,3,8,256,3,20,7780930
6000,3,8,256,3,30,7780930
6000,3,8,256,3,60,7780392
6000,3,8,4096,1,0.25,
6000,3,8,4096,1,0.5,
6000,3,8,4096,1,1,
6000,3,8,4096,1,2,7793590
6000,3,8,4096,1,5,7787200
6000,3,8,4096,1,10,7785815
6000,3,8,4096,1,20,7784310
6000,3,8,4096,1,30,7783148
6000,3,8,4096,1,60,7782354
6000,3,8,4096,2,0.25,
6000,3,8,4096,2,0.5,
6000,3,8,4096,2,1,
6000,3,8,4096,2,2,7793142
6000,3,8,4096,2,5,7788078
6000,3,8,4096,2,10,7786122
6000,3,8,4096,2,20,7784414
6000,3,8,4096,2,30,7783334
6000,3,8,4096,2,60,7781392
6000,3,8,4096,3,0.25,
6000,3,8,4096,3,0.5,
6000,3,8,4096,3,1,
6000,3,8,4096,3,2,7792842
6000,3,8,4096,3,5,7787920
6000,3,8,4096,3,10,7786102
6000,3,8,4096,3,20,7783957
6000,3,8,4096,3,30,7783578
6000,3,8,4096,3,60,7782078
6000,3,8,512,1,0.25,7793590
6000,3,8,512,1,0.5,7790020
6000,3,8,512,1,1,7786994
6000,3,8,512,1,2,7785408
6000,3,8,512,1,5,7783352
6000,3,8,512,1,10,7782104
6000,3,8,512,1,20,7781420
6000,3,8,512,1,30,7781012
6000,3,8,512,1,60,7780648
6000,3,8,512,2,0.25,7793544
6000,3,8,512,2,0.5,7790030
6000,3,8,512,2,1,7787450
6000,3,8,512,2,2,7785793
6000,3,8,512,2,5,7783868
6000,3,8,512,2,10,7782496
6000,3,8,512,2,20,7781736
6000,3,8,512,2,30,7781736
6000,3,8,512,2,60,7780658
6000,3,8,512,3,0.25,7792652
6000,3,8,512,3,0.5,7789732
6000,3,8,512,3,1,7787526
6000,3,8,512,3,2,7785448
6000,3,8,512,3,5,7783934
6000,3,8,512,3,10,7782932
6000,3,8,512,3,20,7781920
6000,3,8,512,3,30,7781432
6000,3,8,512,3,60,7780959
6000,3,8,64,1,0.25,7787090
6000,3,8,64,1,0.5,7784988
6000,3,8,64,1,1,7784222
6000,3,8,64,1,2,7783332
6000,3,8,64,1,5,7782224
6000,3,8,64,1,10,7782208
6000,3,8,64,1,20,7781856
6000,3,8,64,1,30,7781320
6000,3,8,64,1,60,7780982
6000,3,8,64,2,0.25,7787404
6000,3,8,64,2,0.5,7786084
6000,3,8,64,2,1,7783856
6000,3,8,64,2,2,7782582
6000,3,8,64,2,5,7782562
6000,3,8,64,2,10,7782176
6000,3,8,64,2,20,7781452
6000,3,8,64,2,30,7781255
6000,3,8,64,2,60,7781068
6000,3,8,64,3,0.25,7786928
6000,3,8,64,3,0.5,7785196
6000,3,8,64,3,1,7784937
6000,3,8,64,3,2,7782954
6000,3,8,64,3,5,7782038
6000,3,8,64,3,10,7782038
6000,3,8,64,3,20,7780928
6000,3,8,64,3,30,7780928
6000,3,8,64,3,60,7780928
